Designator,Mid X,Mid Y,Rotation,Layer
B+1,116.1034,-111.0742,0.0,top
B-1,108.3056,-111.0742,0.0,top
C1,111.387211,-106.756931,0.0,top
C10,110.075463,-103.952084,270.0,top
C11,111.563207,-102.626225,0.0,top
C12,112.4458,-97.3582,45.0,top
C13,113.497845,-98.070344,0.0,top
C14,103.633321,-111.044244,90.0,top
C18,104.685598,-95.888442,180.0,top
C19,105.198951,-96.582163,180.0,top
C1I1,108.5596,-92.7608,0.0,top
C1N1,105.071804,-104.555797,0.0,top
C1N2,112.872456,-112.109504,180.0,top
C1N3,114.397879,-107.169903,270.0,top
C1N4,113.169825,-107.139058,180.0,top
C1N5,115.291301,-107.350615,270.0,top
C2,111.37416,-103.709339,0.0,top
C2I1,106.371824,-93.0598,270.0,top
C2R2,113.588802,-100.152198,180.0,top
C3,108.391934,-102.963352,0.0,top
C3R1,115.9764,-92.8878,0.0,top
C3R2,115.9916,-95.438897,180.0,top
C4,107.669809,-105.053948,180.0,top
C5,111.8616,-96.3422,0.0,top
C6,104.685598,-95.19472,180.0,top
C7,105.064824,-100.181563,180.0,top
C8,106.5441,-107.100104,270.0,top
D1,103.9368,-97.663,90.0,top
L1,108.0516,-104.013,270.0,top
L2,107.614263,-106.142531,225.0,top
L3,114.359446,-109.250011,270.0,top
R1,108.6358,-91.5416,0.0,top
R1C1,103.5304,-101.219,90.0,top
R1C3,104.607632,-101.519029,0.0,top
R1D1,113.578699,-98.732313,0.0,top
R1D2,113.177066,-106.475462,180.0,top
R1R2,113.200081,-109.286101,180.0,top
R2,112.2934,-91.9988,270.0,top
R2C1,116.010446,-98.162656,180.0,top
R2C2,115.688526,-99.277618,270.0,top
R2C3,117.1448,-100.203,270.0,top
R2C4,116.0272,-100.3554,180.0,top
R2D1,113.5888,-99.4918,180.0,top
R2D2,113.169824,-107.802664,0.0,top
S1,115.3668,-103.730225,90.0,top
SW1,110.3376,-108.925425,270.0,top
T1,116.713,-99.0092,90.0,top
U1,103.724574,-106.755122,90.0,top
U2,108.791403,-99.472829,0.0,top
U3,108.2548,-94.6404,180.0,top
U5,116.073,-94.206897,270.0,top
U6,104.662402,-103.061198,270.0,top
U7,112.88728,-110.618102,180.0,top
USB1,110.3376,-87.9094,180.0,top
X1,111.410801,-105.182826,90.0,top
X2,104.527474,-92.582217,270.0,top
